Date,AAPL_Change,AAPL_Lag 2 Significant,stock_x,GOOG_Change,GOOG_Lag 2 Significant,stock_y,MSFT_Change,MSFT_Lag 2 Significant,stock
2018-01-24,-0.0002820078962211259,-1,AAPL,0.015070914342371957,0,GOOG,0.0070729053318823185,0,MSFT
2018-01-25,-0.015486600846262409,-1,AAPL,-0.004077021735622077,0,GOOG,-0.0009184224743381543,1,MSFT
2018-01-26,-0.014354889544712203,-1,AAPL,0.002174784440483357,0,GOOG,0.007083761423241297,0,MSFT
2018-01-29,-0.010697674418604695,-1,AAPL,0.0011914082445452225,0,GOOG,0.02169243986254288,-1,MSFT
2018-01-30,-0.027239069111424485,0,AAPL,-0.007352441180470627,0,GOOG,-0.019339920117721343,1,MSFT
2018-01-31,0.008125660776317822,0,AAPL,0.002346231900191009,-1,GOOG,0.004823151125401992,0,MSFT
2018-02-01,0.001767843231257782,-1,AAPL,-0.006800105931298428,-1,GOOG,0.0110933333333334,-1,MSFT
2018-02-02,-0.006969162205006986,-1,AAPL,-0.034930028126370805,-1,GOOG,-0.012132081443190224,-1,MSFT
2018-02-05,-0.04156626506024097,1,AAPL,-0.027985739750445715,0,GOOG,-0.03289192652712514,0,MSFT
2018-02-06,-0.026838466373349967,1,AAPL,-0.05815147625160444,1,GOOG,-0.04052561837455837,1,MSFT
2018-02-07,0.05331654072208214,-1,AAPL,0.05292159115247563,-1,GOOG,0.04143169524686385,-1,MSFT
2018-02-08,-0.01713830211239542,-1,AAPL,-0.024159994082511904,0,GOOG,-0.008619736987512394,-1,MSFT
2018-02-09,-0.020088589431655143,1,AAPL,-0.03615656474734941,1,GOOG,-0.03801136996990295,1,MSFT
2018-02-12,0.009104221047940396,1,AAPL,0.03022855738510688,0,GOOG,0.02821552723059106,0,MSFT
2018-02-13,0.021766561514195537,1,AAPL,-0.002862595419847347,1,GOOG,0.0021975545162562504,1,MSFT
2018-02-14,0.006761346094473542,1,AAPL,0.0037799043062201054,1,GOOG,-0.0047228156977398034,1,MSFT
2018-02-15,0.041368947223159314,1,AAPL,0.02871442871442853,1,GOOG,0.030505027680487906,0,MSFT
2018-02-16,0.015136344896637066,0,AAPL,0.00865560158284473,1,GOOG,0.01359500054818552,0,MSFT
2018-02-20,-0.0017985611510791253,0,AAPL,0.0019845462647347656,1,GOOG,-0.010546241211465746,0,MSFT
2018-02-21,0.004533565823888308,0,AAPL,0.014579531804469246,0,GOOG,0.01645258267286165,0,MSFT
2018-02-22,-0.005959613493027871,1,AAPL,0.008784693665440546,1,GOOG,-0.010002151000215176,1,MSFT
2018-02-23,0.010884749708963692,1,AAPL,-0.003180462107705617,1,GOOG,0.00760456273764265,1,MSFT
2018-02-26,0.015431565612944231,1,AAPL,0.013625251653724302,0,GOOG,0.017789757412399076,0,MSFT
2018-02-27,0.015593989225971104,0,AAPL,0.01191700656144712,-1,GOOG,0.014194915254237106,-1,MSFT
2018-02-28,0.0008933556672250377,-1,AAPL,-0.015956328204409287,-1,GOOG,-0.009400459578023712,-1,MSFT
2018-03-01,-0.004016512328461452,-1,AAPL,-0.013499194144412918,-1,GOOG,-0.008962463095740336,-1,MSFT
2018-03-02,-0.03214965833986772,1,AAPL,-0.04945526099632625,1,GOOG,-0.02564102564102566,1,MSFT
2018-03-05,0.013946759259259256,0,AAPL,0.02094807611957328,1,GOOG,0.008298755186721962,0,MSFT
2018-03-06,0.015410079333371353,-1,AAPL,0.02239708317056377,1,GOOG,0.02165908598657129,0,MSFT
2018-03-07,-0.016693833960991555,1,AAPL,-0.009124652025982005,1,GOOG,-0.01250794996820015,1,MSFT
2018-03-08,0.0030867726077512536,1,AAPL,0.02399030472185748,1,GOOG,0.011914984972090979,1,MSFT
2018-03-09,0.014132664691133057,1,AAPL,0.018541763798730404,1,GOOG,0.010819985149040034,1,MSFT
2018-03-12,0.013092829849404186,0,AAPL,0.024515845070422367,-1,GOOG,0.012698079546646923,-1,MSFT
2018-03-13,0.012757224471684479,-1,AAPL,0.0052841861064572,-1,GOOG,0.005181347150259086,-1,MSFT
2018-03-14,-0.012432225204008995,0,AAPL,-0.02118803418803417,0,GOOG,-0.01938144329896907,0,MSFT
2018-03-15,-0.010093167701863305,0,AAPL,0.004147710900184176,-1,GOOG,-0.016715727502102595,0,MSFT
2018-03-16,0.0008403361344537785,-1,AAPL,0.003634909040314494,-1,GOOG,0.012295520153961405,-1,MSFT
2018-03-19,-0.0074447243212987235,-1,AAPL,-0.02957180238099377,-1,GOOG,-0.009928179129700121,0,MSFT
2018-03-20,-0.011730205278592254,-1,AAPL,-0.0187587610824903,-1,GOOG,-0.0073607851504160484,-1,MSFT
2018-03-21,-0.001141291942479028,-1,AAPL,-0.005696087352138335,-1,GOOG,-0.0012896292315958124,-1,MSFT
2018-03-22,-0.02879341864716634,-1,AAPL,-0.00993832018595453,-1,GOOG,-0.017916711503282112,0,MSFT
2018-03-23,-0.00947058823529423,1,AAPL,-0.0322124450031428,1,GOOG,-0.01933928669259844,1,MSFT
2018-03-26,-0.00190035037710079,0,AAPL,-0.0009837349455125157,-1,GOOG,0.012402234636871512,0,MSFT
2018-03-27,0.03337894924733753,-1,AAPL,0.016252390057361454,-1,GOOG,0.047787219953647535,-1,MSFT
2018-03-28,-0.03702210962690011,0,AAPL,-0.06114769520225771,1,GOOG,-0.053928797135032736,0,MSFT
2018-03-29,0.0033183856502243536,0,AAPL,0.013657314629258456,0,GOOG,0.004008016032064354,0,MSFT
2018-04-02,0.0004469473496020449,-1,AAPL,0.0110613564247799,-1,GOOG,0.003215790640940241,-1,MSFT
2018-04-03,-0.0014295925661187425,1,AAPL,-0.008711210183610095,1,GOOG,-0.009892782137725152,1,MSFT
2018-04-04,-0.01646385110952031,1,AAPL,-0.02021875708889353,1,GOOG,-0.019257605358638075,1,MSFT
2018-04-05,0.04670063076176634,-1,AAPL,0.048237887679809965,-1,GOOG,0.05219123505976109,-1,MSFT
2018-04-06,-0.009329006837408782,1,AAPL,-0.020483420241421912,0,GOOG,-0.010223400227186707,0,MSFT
2018-04-09,-0.006375387494882201,1,AAPL,-0.0031372549019608176,1,GOOG,-0.00491857033555565,1,MSFT
2018-04-10,0.01836590534494941,0,AAPL,0.009480723839496495,0,GOOG,0.014828646748681784,0,MSFT
2018-04-11,-0.004450867052023133,1,AAPL,0.0015100736526245662,1,GOOG,-0.004112999242342208,1,MSFT
2018-04-12,0.0068513034895199,0,AAPL,-0.002869677720600428,1,GOOG,0.004564721225953639,1,MSFT
2018-04-13,0.007900351767487379,0,AAPL,0.015453055490517675,1,GOOG,0.01752677702044769,1,MSFT
2018-04-16,0.001430941755349524,1,AAPL,-0.0037276150949198117,1,GOOG,0.00021265284423166442,1,MSFT
2018-04-17,0.008340851087898615,0,AAPL,0.013857280617164848,1,GOOG,0.009886254916551485,1,MSFT
2018-04-18,0.0074791772904980736,-1,AAPL,0.02478670686818174,0,GOOG,0.012842105263157988,0,MSFT
2018-04-19,-0.016084584669028845,-1,AAPL,-0.007452920375337624,0,GOOG,0.002286426938266528,0,MSFT
2018-04-20,-0.02489282652186331,-1,AAPL,0.011782307836169624,-1,GOOG,-0.00549564496059729,0,MSFT
2018-04-23,-0.022041677657610115,-1,AAPL,-0.0038262476894640467,-1,GOOG,-0.00173495985820038,-1,MSFT
2018-04-24,-0.006981756803736472,0,AAPL,-0.02399198411667558,-1,GOOG,0.005205569876211014,-1,MSFT
2018-04-25,-0.018410092352266427,0,AAPL,-0.025171102661596945,1,GOOG,-0.030568774547494963,1,MSFT
2018-04-26,0.009223957692780616,-1,AAPL,0.0038907091036741726,0,GOOG,0.0026795284030010076,1,MSFT
2018-04-27,-0.0007311723129417302,1,AAPL,0.016017328632067732,-1,GOOG,0.04329235702832701,-1,MSFT
2018-04-30,-0.01140121951219508,1,AAPL,-0.015286806883365256,0,GOOG,-0.01301229508196722,-1,MSFT
2018-05-01,0.026398536484874446,1,AAPL,-0.015873632294832074,0,GOOG,-0.03238866396761142,0,MSFT
2018-05-02,0.052970310714126834,1,AAPL,0.014245407730402615,-1,GOOG,0.019096663448128,-1,MSFT
2018-05-03,0.0037380510771864994,1,AAPL,-0.008851279058457284,1,GOOG,-0.02137067059690501,1,MSFT
2018-05-04,0.013475096656811571,1,AAPL,-0.0020608439646713217,1,GOOG,0.00387263339070576,1,MSFT
2018-05-07,0.0388779803646564,0,AAPL,0.03179270331399353,0,GOOG,0.01982426060865849,0,MSFT
2018-05-08,-0.0010260287288044179,1,AAPL,0.008873173660684408,1,GOOG,0.007098875696122775,1,MSFT
2018-05-09,0.008432888264230609,1,AAPL,-0.0004156668619041959,1,GOOG,0.0017152587077549075,1,MSFT
2018-05-10,0.006378986866791836,0,AAPL,0.026396370853416503,1,GOOG,0.015102593479845659,0,MSFT
2018-05-11,0.00932140193885167,-1,AAPL,0.006970341519110912,0,GOOG,0.003488610712087059,0,MSFT
2018-05-14,-0.0025331152039685945,-1,AAPL,0.00585223116313105,-1,GOOG,0.0012269938650306678,0,MSFT
2018-05-15,-0.011798317549335913,0,AAPL,-0.009090909090909037,0,GOOG,-0.006944444444444532,0,MSFT
2018-05-16,-0.0038012635185780135,0,AAPL,-0.01164220183486242,-1,GOOG,0.0012340600575895255,-1,MSFT
2018-05-17,0.010372440479389457,0,AAPL,0.0023948538489386717,0,GOOG,-0.006162695152013065,0,MSFT
2018-05-18,-0.004308510638297847,0,AAPL,-0.016696144977729418,1,GOOG,-0.007751136833402228,1,MSFT
2018-05-21,0.0043271542283240825,0,AAPL,0.011489273538884737,0,GOOG,0.01031142589313605,0,MSFT
2018-05-22,0.001994680851063801,0,AAPL,0.008844943485466272,0,GOOG,0.007010309278350668,1,MSFT
2018-05-23,-0.010749834107498413,1,AAPL,-0.017008748938683427,1,GOOG,-0.009930384930385115,1,MSFT
2018-05-24,0.0129863160719077,0,AAPL,0.013021884652577587,-1,GOOG,0.020835487540068254,0,MSFT
2018-05-25,-0.0028606240398370013,0,AAPL,1.853568118637128e-05,-1,GOOG,-0.004304887313243855,0,MSFT
2018-05-29,-0.0033469691335068497,0,AAPL,-0.013095216029359813,0,GOOG,-0.004679552390640884,1,MSFT
2018-05-30,0.0006396588486141662,0,AAPL,-0.0017466592793623505,1,GOOG,0.004803761242845539,0,MSFT
2018-05-31,-0.002663541444704931,1,AAPL,0.004261403723319068,1,GOOG,0.009968467093886657,1,MSFT
2018-06-01,0.0041192180322615615,1,AAPL,0.029778185769418163,1,GOOG,-0.00010272937858812892,1,MSFT
2018-06-04,0.01938282217465504,1,AAPL,0.02090326101787432,1,GOOG,0.019945648560935947,1,MSFT
2018-06-05,0.007462102434315331,0,AAPL,0.016626126005720332,0,GOOG,0.007307920205411822,0,MSFT
2018-06-06,0.0029264755393261233,-1,AAPL,0.0010341896072709744,-1,GOOG,0.0047058823529411145,-1,MSFT
2018-06-07,0.0026338893766462146,-1,AAPL,-0.009499461551257804,-1,GOOG,0.0016588602654177276,-1,MSFT
2018-06-08,-0.015298238384670815,0,AAPL,-0.01161475091044084,1,GOOG,-0.015173891865562616,0,MSFT
2018-06-11,0.0009415703300728053,0,AAPL,0.0003756103668459687,1,GOOG,0.002746002666867309,0,MSFT
2018-06-12,0.0001829108962634329,0,AAPL,0.011147863400679414,1,GOOG,-0.0026635099141758545,0,MSFT
2018-06-13,0.0054079473312955715,-1,AAPL,0.008885391708735924,0,GOOG,0.006132542037586619,0,MSFT
2018-06-14,-0.004521359526036717,-1,AAPL,0.002392386427369609,0,GOOG,-0.0006881635863152935,-1,MSFT
2018-06-15,-0.007935264943878972,-1,AAPL,0.004379944922848322,0,GOOG,-0.0013772749631086878,-1,MSFT
2018-06-18,-0.01131400305214969,0,AAPL,-0.0045349302787108785,1,GOOG,-0.014776869273963156,1,MSFT
2018-06-19,-0.014583776878858925,1,AAPL,0.0129847418353517,1,GOOG,-0.003599640035996443,1,MSFT
2018-06-20,0.006535594685103119,0,AAPL,0.014510142425550262,-1,GOOG,0.01726041144004009,0,MSFT
2018-06-21,0.004829621679635078,-1,AAPL,-0.00039138610239009,-1,GOOG,0.006954720331459052,-1,MSFT
2018-06-22,-0.0060347129506007615,-1,AAPL,-0.013371919819551327,-1,GOOG,-0.016311535635562202,-1,MSFT
2018-06-25,-0.01461422738018481,0,AAPL,-0.013406491019204105,-1,GOOG,-0.0040832586395777035,0,MSFT
2018-06-26,-0.0022355507088330784,0,AAPL,-0.01364113326337868,-1,GOOG,-0.011800000000000031,-1,MSFT
2018-06-27,0.012229083556478448,0,AAPL,-0.0059042553191489535,0,GOOG,0.0076907508601498096,0,MSFT
2018-06-28,-0.006088718864015075,0,AAPL,-0.01716696095742598,0,GOOG,-0.02209278971681061,0,MSFT
2018-06-29,0.011895708853883802,0,AAPL,0.016250941393171292,1,GOOG,0.015917026083384744,1,MSFT
2018-07-02,-0.013258897418004234,0,AAPL,-0.018750000000000044,1,GOOG,-0.008389770544829811,1,MSFT
2018-07-03,0.021597214666521536,-1,AAPL,0.03350318471337577,-1,GOOG,0.024260958205912345,0,MSFT
2018-07-05,-0.01347249587304966,1,AAPL,-0.02226585198358888,1,GOOG,-0.009753184713375829,1,MSFT
2018-07-06,0.0008636510849615586,1,AAPL,0.011751145849279164,1,GOOG,0.0038693467336683436,1,MSFT
2018-07-09,0.02200409880271814,0,AAPL,0.022161305826020383,0,GOOG,0.01762226560544633,0,MSFT
2018-07-10,0.006385224274406465,0,AAPL,0.007401086653664012,0,GOOG,0.0034905730914986943,0,MSFT
2018-07-11,-0.011588275391956393,1,AAPL,-0.01070891458797918,1,GOOG,-0.008333333333333305,1,MSFT
2018-07-12,0.005464190981432361,1,AAPL,0.013367231934579449,1,GOOG,0.016015818091942524,1,MSFT
2018-07-13,0.008178124835118483,0,AAPL,0.0216486046090576,-1,GOOG,0.01556874574292122,0,MSFT
2018-07-16,0.002302700439606342,0,AAPL,0.00370464135021109,0,GOOG,0.009868736226885222,0,MSFT
2018-07-17,-0.009241854636591551,0,AAPL,-0.014435971380287403,1,GOOG,-0.007495256166982989,0,MSFT
2018-07-18,0.010698287220026305,0,AAPL,0.02076402040572578,0,GOOG,0.012713889685498579,1,MSFT
2018-07-19,-0.010897903848159364,0,AAPL,-0.004646653740723372,0,GOOG,-0.009533698319803552,1,MSFT
2018-07-20,0.011017976698824315,0,AAPL,-0.0033921074727120137,1,GOOG,0.03002001334222815,0,MSFT
2018-07-23,-0.005735738867452267,1,AAPL,-0.005012805823279676,1,GOOG,-0.016469282013323427,1,MSFT
2018-07-24,0.009282567652611595,1,AAPL,0.06907646844649906,0,GOOG,0.02135465663217296,1,MSFT
2018-07-25,0.003170693686671999,0,AAPL,-0.018580853642116483,1,GOOG,-0.005664548217739651,1,MSFT
2018-07-26,0.00802754788402793,-1,AAPL,0.00957930160677245,-1,GOOG,0.02579778611458483,-1,MSFT
2018-07-27,0.0019526231951081387,-1,AAPL,0.015987210231814597,-1,GOOG,-0.00505689001264209,-1,MSFT
2018-07-30,-0.015846966511103178,1,AAPL,-0.033823760818253334,0,GOOG,-0.027137411508440845,-1,MSFT
