Date,BarackObama_sentiment_score,cnnbrk_sentiment_score,KimKardashian_sentiment_score
2016-10-04,,,0.3896
2016-10-05,1.1787,,1.0691
2016-10-06,-0.5023,,0.0
2016-10-07,,,
2016-10-10,,-1.5529000000000002,
2016-10-11,,-1.0248,
2016-10-12,,-3.0163,
2016-10-13,0.7877000000000001,-3.5363,
2016-10-14,1.3632000000000002,-2.5233,
2016-10-17,0.5940000000000001,-3.4520999999999997,
2016-10-18,0.9203,-2.1403000000000003,
2016-10-19,1.509,-1.7672999999999999,
2016-10-20,3.2452000000000005,-1.3195999999999997,
2016-10-21,0.6360000000000001,-4.6792,
2016-10-24,1.7152,-3.7912,
2016-10-25,1.3016,-2.7833,
2016-10-26,1.2321,0.5719,
2016-10-27,0.8614000000000002,-2.9382,
2016-10-28,0.8236,0.20000000000000004,
2016-10-31,1.7859,-1.4383000000000001,
2016-11-01,0.4751,,7.3803
2016-11-02,0.7328999999999999,,0.0
2016-11-03,1.3774000000000002,,2.8278999999999996
2016-11-04,1.4143999999999999,,0.6299000000000001
2016-11-07,,,8.0271
2016-11-08,2.1342,-5.055200000000001,1.3096
2016-11-09,,-1.9921,0.9993999999999998
2016-11-10,0.4043,-1.6499,
2016-11-11,,-2.3365,
2016-11-14,,-1.3633,
2016-11-15,,-2.4669,
2016-11-16,,-4.1357,
2016-11-17,,-0.7461,
2016-11-18,,-0.22009999999999996,
2016-11-21,,-3.44,
2016-11-22,,-3.6282000000000005,
2016-11-23,,-1.8357999999999999,
2016-11-25,,-0.10489999999999994,
2016-11-28,,-3.3687,
2016-11-29,,-4.9162,
2016-11-30,,-3.3964000000000003,
2016-12-01,0.9393,,0.6652
2016-12-02,1.242,,1.6313
2016-12-05,0.2281,,1.2534999999999998
2016-12-06,,,-1.6798000000000002
2016-12-07,-0.7224,,0.5622
2016-12-08,1.5873,1.8553000000000002,0.8547
2016-12-09,-0.38210000000000005,-1.5416,3.2439
2016-12-12,,-2.0244,
2016-12-13,,-0.9990999999999998,
2016-12-14,,-1.1466999999999998,
2016-12-15,,-5.040300000000001,
2016-12-16,,-0.664,
2016-12-19,,-3.8669000000000002,
2016-12-20,,-3.653,
2016-12-21,,-3.5192000000000005,
2016-12-22,,0.6586000000000001,
2016-12-23,,-3.5,
2016-12-27,,-1.1141,
2016-12-28,,-1.7633,
2016-12-29,,-0.2427999999999999,
2016-12-30,,-1.9998000000000002,
