Date,sentiment_score,polar_score
2016-06-02,0.2553,0.5106
2016-06-06,-0.7269,-1.4538
2016-06-08,-0.2294,-0.4588
2016-06-09,0.24695,0.4939
2016-06-10,0.4019,0.8038
2016-06-14,0.5106,1.0212
2016-06-15,0.0,0.0
2016-06-16,-0.29835000000000006,-0.6978
2016-06-17,-0.095852,-0.09409999999999996
2016-06-20,-0.10037619047619047,-0.2026
2016-06-21,-0.08791739130434781,-0.16579999999999995
2016-06-22,-0.016627272727272723,0.11560000000000004
2016-06-23,0.002355555555555559,-0.06589999999999996
2016-06-24,-0.08772388059701496,0.0937
2016-06-27,-0.19087727272727273,-0.33520000000000005
2016-06-28,-0.38053000000000003,-0.8779
2016-06-29,-0.1667,-0.37970000000000004
2016-06-30,-0.10596956521739133,-0.19720000000000004
2016-07-01,-0.1619482142857143,-0.07369999999999999
2016-07-04,-0.22139230769230772,-0.1856
2016-07-05,-0.09293,-0.07550000000000001
2016-07-06,-0.07905357142857143,0.012799999999999923
2016-07-07,-0.036674074074074074,-0.16559999999999997
2016-07-08,-0.12188169014084511,-0.26960000000000006
2016-07-11,-0.08872962962962962,-0.3752
2016-07-12,-0.06925833333333334,-0.19310000000000005
2016-07-13,-0.048140740740740755,0.014000000000000012
2016-07-14,-0.013531999999999988,-0.21610000000000007
2016-07-15,-0.12102575757575756,-0.0685
2016-07-18,-0.04416666666666666,-0.10020000000000007
2016-07-19,-0.16677142857142857,-0.12120000000000009
2016-07-20,-0.120575,-0.15369999999999995
2016-07-21,-0.010266666666666658,-0.3295999999999999
2016-07-22,-0.13336111111111107,-0.07639999999999991
2016-07-25,-0.12839565217391305,-0.028100000000000014
2016-07-26,-0.15477058823529413,-0.3677
2016-07-27,-0.10444000000000002,-0.36439999999999995
2016-07-28,-0.153065,-0.3379
2016-07-29,-0.018867346938775512,-0.02650000000000008
2016-08-01,0.0043785714285714305,0.055400000000000005
2016-08-02,-0.1280787878787879,-0.12749999999999995
2016-08-03,-0.14682380952380952,-0.13569999999999993
2016-08-04,-0.14707575757575755,-0.27669999999999995
2016-08-05,-0.020882539682539687,0.012799999999999923
2016-08-08,-0.057884615384615375,-0.32959999999999995
2016-08-09,-0.05836923076923078,-0.26769999999999994
2016-08-10,-0.2430190476190476,-0.6004
2016-08-11,-0.124248,0.0353
2016-08-12,-0.06792328767123286,-0.1995
2016-08-15,-0.049546428571428595,-0.2836000000000001
2016-08-16,-0.06093636363636365,-0.4107
2016-08-17,-0.34684000000000004,-0.8
2016-08-18,-0.02934871794871795,-0.14779999999999993
2016-08-19,-0.0745764705882353,-0.015900000000000025
2016-08-22,-0.10789565217391306,-0.34940000000000004
2016-08-23,-0.13716,-0.3411
2016-08-24,-0.008688235294117656,-0.22309999999999997
2016-08-25,-0.15008148148148148,-0.23299999999999998
2016-08-26,-0.1739564516129032,-0.3808
2016-08-29,0.030180000000000005,0.038900000000000046
2016-08-30,-0.12223333333333332,-0.27660000000000007
2016-08-31,-0.11637272727272728,-0.21319999999999995
2016-09-01,-0.04619999999999999,0.07540000000000002
2016-09-02,-0.0656376811594203,-0.3541000000000001
