Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2014-05-08,BarackObama,LAST CHANCE: Sign OFA's birthday card for President Obama. http://t.co/KJG9Gx59B9,965,454,0.4084,0.4084
2014-05-08,BarackObama,"""Study: States Embracing Obamacare See Biggest Drops in Uninsured"" More from @WSJ: http://t.co/Hj9hlD98tI",860,486,0.0,0.0
2014-05-09,BarackObama,"For just $123 a month, Phil and his family of five are covered. http://t.co/JSw02TtOy1 #ThisIsWhy",739,330,0.0,0.0
2014-05-09,BarackObama,"In 54 straight months of job growth, the economy has added 10 million private-sector jobs. There's still more to do. http://t.co/A8LiVVEzcg",1572,1271,0.5423,0.5423
2014-05-09,BarackObama,Say no to cynicism: http://t.co/nxtLYeVMDh http://t.co/LxHNBqu294,1856,1529,-0.5994,-0.5994
2014-05-09,BarackObama,"There's more to do, but this is real progress: 10M private-sector jobs have been added over 54 straight months. http://t.co/ReSGbk1PlG",1176,634,0.7227,0.7227
2014-05-09,BarackObama,Happening now: President Obama is speaking at the American Veterans Disabled for Life Memorial dedication. http://t.co/2JlMn4tdZO #AVDLM,1117,467,0.0,0.0
2014-05-09,BarackObama,Happening now: President Obama is holding a press conference. Tune in. http://t.co/wslWZ6O5Wn,908,476,0.0,0.0
2014-05-09,BarackObama,"""I'm going to squeeze every last bit of opportunity to make the world a better place over these last two years."" —President Obama",7094,4907,0.6908,0.6908
2014-05-12,BarackObama,"Retweet if you want to see solutions, not political games. #NoMoreGames http://t.co/7snjlDckbO",2010,3084,0.25,0.25
2014-05-12,BarackObama,"Our economy added 321,000 jobs in November, the most in nearly three years: http://t.co/1XhpIEoX8l #ActOnJobs",1479,909,0.0,0.0
2014-05-12,BarackObama,"Our economy has created 2.65 million jobs so far this year, higher than any full year since the late 1990s. http://t.co/VvudRp9tlh",2417,1989,0.25,0.25
2014-05-12,BarackObama,The Clean Air Act has been improving air quality for over 40 years—read what @GinaEPA wrote about proposed updates: http://t.co/9WZnXU7Y6E,863,427,0.6705,0.6705
2014-05-12,BarackObama,The President proposed new standards for smog-forming pollution. Add your name to fight for cleaner air: http://t.co/EqRKacMYoM,953,470,-0.2263,-0.2263
2014-05-12,BarackObama,"In just the first two weeks of enrollment, 1.5 million Americans applied for affordable health coverage: http://t.co/pacPZEsuzV",1517,780,0.0,0.0
2014-06-06,BarackObama,$7.25 an hour just isn't enough. It's time to #RaiseTheWage: http://t.co/R6uDadZTxo,2909,2482,0.0,0.0
2014-06-06,BarackObama,"Watch: Because of climate change, the average U.S. wildfire season is longer and more intense. http://t.co/0hqJU8u0LD #ActOnClimate",837,593,0.1513,0.1513
2014-06-06,BarackObama,Sign @OFA's petition to #RaiseTheWage: http://t.co/oGLHqw4tH9,646,370,0.0,0.0
2014-06-09,BarackObama,"Watch @VP Joe Biden deliver the weekly address, saying it's time to help the middle class: http://t.co/ACM2zygLhw #OpportunityForAll",825,400,0.4019,0.4019
2014-06-09,BarackObama,Congress heads back to Washington this week—now is not the time to be cynical about what they can accomplish. http://t.co/rUSFuU59UZ,1776,999,0.0516,0.0516
2014-06-09,BarackObama,"""All the middle class in this country wants is a chance. No guarantee, just a chance."" —@VP Joe Biden http://t.co/s8d1A4r2zR",1537,952,0.2023,0.2023
2014-06-10,BarackObama,The Supreme Court just cleared the path for marriage equality in at least five more states. #LoveIsLove,8220,6516,0.6124,0.6124
2014-06-10,BarackObama,Add your name to support a raise for 28 million Americans across the country: http://t.co/akoX3vKT49 #RaiseTheWage,854,499,0.4019,0.4019
