Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2015-02-10,KimKardashian,I just did a post on my app today about how my mom steals my looks &amp; today I see she literally stole my Balmain look &amp; choker vibes! #SWF,2966,624,-0.5562,-0.5562
2015-02-10,KimKardashian,GRANNY PANTIES http://t.co/6UErH3ymXa http://t.co/uARW3TrdIh,7727,1916,0.0,0.0
2015-02-10,KimKardashian,CICI BUSSEY http://t.co/YqNyNLl8jp http://t.co/3ZzcfvvZ73,2861,576,0.0,0.0
2015-02-11,KimKardashian,SISTER Sunday https://t.co/nYrYF4eX99 https://t.co/w5IKTKBpdv,2488,662,0.0,0.0
2015-02-11,KimKardashian,"Who saw Kardashian Rewind tonight? Sooo old school, loved it!",4056,734,0.636,0.636
2015-02-11,KimKardashian,🐞💥🦄 https://t.co/HIzNyLnSLW,14165,2724,0.0,0.0
2015-02-11,KimKardashian,Log onto my app now! #LiveStream,1509,338,0.0,0.0
2015-02-11,KimKardashian,Gonna live stream now! You have to see what I'm doing in my moms garage!!!,1823,396,0.0,0.0
2015-02-11,KimKardashian,Beyond excited to welcome the one and only @KarlLagerfeld and his gorgeous F/W collection to the #KimKardashianGame! https://t.co/5fhQVblecZ,2872,641,0.8655,0.8655
2015-02-11,KimKardashian,MY SURPRISE PARTY PICS https://t.co/hMCZU4pccz https://t.co/UUMWCLMDFF,2694,536,0.7404,0.7404
2015-02-11,KimKardashian,Shoe game #Yeezy https://t.co/b6pfzb8oEk,34692,16987,0.0,0.0
2015-02-12,KimKardashian,Who watched Keeping Up With The Kardashians: Family Rules??? Its so fun going down memory lane. Its so much fun to watch,5775,795,0.8757,0.8757
2015-02-12,KimKardashian,me too. so many memories! https://t.co/cLEfqFOBOj,1651,261,0.0,0.0
2015-02-12,KimKardashian,My lifestream is working again! I think I will go live today! But you guys have to update the app so it works on your phones!,3437,529,0.0,0.0
2015-02-12,KimKardashian,CHRISTMAS SHOPPING https://t.co/nknuXKW8AA https://t.co/jfcXNXcbEa,3961,748,0.0,0.0
2015-02-12,KimKardashian,FAUX FUR https://t.co/1Z0HHoQmiR https://t.co/Qx6Z6FAiYj,5965,1341,0.0,0.0
