Date,author,content,number_of_likes,number_of_shares
2013-03-18,katyperry,ATTENTION: Mercury is OUT of retrograde today. Thank GOD.,2954,5079
2013-03-19,katyperry,You HAVE to get the Kacey Musgraves record that came out today. It makes everything better! https://t.co/E5eyxvvGnv,1771,2868
2013-03-20,katyperry,About to watch Wayne's World. For the first time...,3663,3941
2013-03-21,katyperry,http://t.co/wSxc1Ich3e,3948,5886
2013-03-21,katyperry,Interesting read: http://t.co/d8hSK2E7gq,1782,2911
2013-03-22,katyperry,"Perfectly put, by Tristan Prettyman: https://t.co/NOY9eKZ9zP",1610,2490
2013-03-22,katyperry,Live every day like you're gonna be wiped out by a meteor. #scienceyolo,4841,10258
2013-03-22,katyperry,Mothers always watching... RT @Scott_Myrick: Who wore the cake better? @TaylorSwift13 Barbie Or @Scott_Myrick Barbie! http://t.co/3hsWfiyP2f,4184,4795
2013-03-22,katyperry,"Baby-steps, baby! RT @nickomfg: What? @katyperry tweeting twice in one day? What's next? Tweeting a KatyCat?",2492,3871
2013-03-26,katyperry,Step away from the snare sounds... #ocdrecording,3007,4554
2013-03-29,katyperry,"OCD does not help, When comping vocals. #muttlangeearssyndrome",2307,3336
2013-03-29,katyperry,"Perfectly put, by Tegan and Sara: https://t.co/QyrYM2etsh",1887,2782
2013-03-29,katyperry,"@shannonwoodward I hear you, dork",1151,1896
2013-03-29,katyperry,Discovered one of my favorite Hirsts tonight! Had to have my picture with it. http://t.co/PXUtyUOGZT,5567,5036
2013-03-29,katyperry,DTF! RT @BonnieMcKee: Sprang Brayke. Sprang Brayke. Sprang Brayke.,1634,2572
2013-03-29,katyperry,That's personal. RT @srbuhiii: @katyperry are you trolling? I think yes?,1789,2765
2013-03-29,katyperry,Happy Easter chickadees! http://t.co/7d0ziCCznh,6760,7968
2013-04-05,katyperry,Perfectly put by Labrinth feat. Emeli Sande: https://t.co/jYymk1jjLE,1862,2828
2013-04-05,katyperry,I'm on that red white &amp; blue tip! http://t.co/SiRWHogYRE,5043,4505
2013-04-08,katyperry,@aaronpauley happiest birthday.,4350,3557
2013-04-09,katyperry,WELL THANK U! @billboard: There's a new No. 1! @KatyPerry's #Roar has finally dethroned @robinthicke's #BlurredLines: http://t.co/D3mT3kv2hL,3262,4886
2013-04-10,katyperry,Miss the live #iTunesFestival Monday? Watch it all ON DEMAND now! http://t.co/9iLNb05xWp I played FOUR  http://t.co/IWVuIlP8aC,7092,5681
2013-04-11,katyperry,Cybering! http://t.co/RmXBkISjkD,12918,8391
2013-04-11,katyperry,@ThinkingOfBecki There's an update for that application and it's promising! 😘,1460,1218
2013-04-12,katyperry,There is nothing better than matzo ball soup from Katz' deli on a cold winters day! 🍲🍲🍲 #foodtweet,5066,3514
2013-04-12,katyperry,Have you ever met someone who is completely fantastic in person but utterly obnoxious on social media? #whythedisconnect?,11331,9793
2013-04-12,katyperry,Herbal tea and jacuzzi #adultchella,3279,4098
2013-04-12,katyperry,"Production value has really gone up at Coochella, it felt like R Kelly was really there! #rkellyhologram",2328,3309
2013-04-12,katyperry,Thank you! RT @phillipeblond: Sneaker WEDGES... DISGUSTING!!,1704,2726
2013-04-15,katyperry,No one does adorbies better than #Grimes!!! 👶🎀🍄🐣🍼🍦🍬,2535,3460
2013-04-15,katyperry,Rebel Wilson's opening monologue for the MTV movie awards is the standard! I love for her blasé approach!,2883,3729
2013-04-15,katyperry,Absolutely. RT @kaseymusgravess: #PrayersForBoston,2487,4214
2013-04-16,katyperry,Thx! RT @voguemagazine: a free spirit #Coachella style @ its best w/@katyperry in @HELMUTLANG http://t.co/3ksYm7vF2i http://t.co/M91GQsJ8kA,6506,5944
2013-04-18,katyperry,Srry not srry! RT @RonanFarrow: ASCAP Pop Awards.Which Max Martin/Dr. Luke on stage for 2 hrs &amp; accept all the awards http://t.co/da0ROvbllk,1890,2234
2013-04-18,katyperry,Reading all the news about Texas. It's a very sad time for lots of ppl. Let's send extra love &amp; light out. Don't take anything for granted.,4016,7705
2013-04-19,katyperry,@diplo oh. How kind!,1107,1639
2013-04-19,katyperry,You know the 90's are back when you're voluntarily putting record scratches in your songs a la Portishead's Dummy.,2641,3862
2013-04-19,katyperry,"Perfectly put, by Zedd feat. FOXES: https://t.co/VBUEs6ll5v",1871,2851
2013-04-19,katyperry,With Carmen San Diego obvi RT @mattxhitt: Where is @devhynes ?,1624,2482
2013-04-23,katyperry,Smurrrrrrffff breaaaaaak,3756,6050
2013-04-24,katyperry,Ermm... I was in LA Saturday night... Should I be proud or offended I wasn't invited @rihanna #WHOISTHISDOPPLEGANGER,3289,5270
2013-04-24,katyperry,Don't worry @rihanna  I'll make it up to you at Barclays... 💵💋💵💋,3607,5858
2013-04-24,katyperry,Or more like let you make it up to me... Hehehe @rihanna 💋💵💋💵,3247,5164
2013-04-24,katyperry,Oops RT @sofifii: @katyperry don't tell anyone but I miss you,1629,2543
2013-04-25,katyperry,Today is the type of day every girl dreams of...,3991,6054
2013-04-25,katyperry,"I'm not gonna lie, I feel very vulnerable after a nap.",4195,7256
2013-04-26,katyperry,Katy had a little lamb &amp; that little lamb had quite the attitude! http://t.co/8Z1iKHli0z,2013,2878
2013-04-26,katyperry,"Perfectly put, by Kacey Musgraves: http://t.co/qOZqg7dUYe",1474,2269
2013-04-26,katyperry,OHHEMMMGEE GET ME STRAIGHT TO THE CINEMA FOR LIL' BUB &amp; FRIENDS: http://t.co/uj85bcJSHP,2017,2850
2013-04-26,katyperry,Yes. You can sleep now. RT @cassandraKP: @katyperry did u win the book reading contest?,1995,2855
2013-04-26,katyperry,Penelope &amp; me. http://t.co/4Mfp3eVOqp,7120,6521
2013-04-26,katyperry,"Other way around, but yes RT @cherryofkaty: @katyperry kittens are the new lambs",1888,3052
2013-04-26,katyperry,I just witnessed our President deliver the funniest speech I have ever heard. #nerdprom,3170,3930
2013-04-26,katyperry,Sup? http://t.co/U3KmFZyeyr,7719,6380
2013-04-29,katyperry,RT @lenadunham: Twerkin hard or hardly twerkin?,1853,2749
