Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2016-03-08,cnnbrk,"Meg Whitman, GOP donor and ex-Calif. gubernatorial candidate, says she would support Clinton over Trump. https://t.co/K0XqmtyNdB",2221,929,0.4019,0.4019
2016-03-08,cnnbrk,"Australia is deliberately abusing refugees in an offshore detention camp, human rights groups claim in a new report. https://t.co/jhpK3SqmQz",353,444,-0.6705,-0.6705
2016-03-08,cnnbrk,"Father of Baton Rouge deputy who survived deadly attack on officers, says his son remains on life support. https://t.co/9MVN8JgJ78",330,188,0.4404,0.4404
2016-03-08,cnnbrk,22 people are missing after 2 buses go off a bridge that collapsed in flooding in India. https://t.co/LAvO69hkPs https://t.co/2FfhmLAf82,347,395,-0.5106,-0.5106
2016-03-08,cnnbrk,"London will add 600 more armed police following recent terror attacks across Europe, officials say. https://t.co/DC29qQw5hN",403,312,-0.743,-0.743
2016-03-08,cnnbrk,Michael Phelps will be U.S. flag bearer for Rio Olympics https://t.co/kyxUB6wh2I https://t.co/qDPI5DsKnq,2045,700,0.0,0.0
2016-03-08,cnnbrk,"Two bodies recovered, 20 people missing after bridge collapsed in India. https://t.co/gDM74dbXSt https://t.co/82Pi2P8UoT",330,349,-0.5106,-0.5106
2016-03-08,cnnbrk,"Bus in California hits sign pole, killing five aboard. https://t.co/i2fLwx8nNT. https://t.co/QxYbQ2npI0",242,197,-0.6486,-0.6486
2016-03-08,cnnbrk,"D.C. transit cop accused of helping ISIS, law enforcement officials say. https://t.co/dG6a4IrLYS. https://t.co/v1LR3Ub949",341,392,0.0,0.0
2016-03-08,cnnbrk,Bomber in notorious 1963 Alabama church attack that killed four girls is denied parole https://t.co/kC68e2UOfi https://t.co/6VzbTEV1ot,1868,1357,-0.9246,-0.9246
2016-03-08,cnnbrk,Firefighter killed batting plane fire at Dubai airport. The airport has resumed all flights https://t.co/LDwlHtMU34 https://t.co/MCaUh5tYIz,336,340,-0.7845,-0.7845
2016-03-08,cnnbrk,Fed fines Goldman Sachs $36 million for leaking confidential documents https://t.co/JwaFHFFxy6 https://t.co/A5HsdRSXLK,533,375,0.0,0.0
2016-03-08,cnnbrk,"U.S. sent $400M to Iran on same day Iran released 4 U.S. prisoners, implemented nuclear deal https://t.co/ecfuRN3wSo https://t.co/xH71dMuyOY",565,621,-0.5106,-0.5106
2016-03-08,cnnbrk,Caribbean storm Earl has been upgraded to a hurricane by the National Hurricane Center. https://t.co/Lg1ij53sw8 https://t.co/8on3rBXGv9,416,483,0.0,0.0
2016-03-08,cnnbrk,SCOTUS temporarily blocks Virginia order allowing transgender student to use boys' bathroom https://t.co/NFpHZASe1A https://t.co/cYgrpPgaCL,331,200,-0.2263,-0.2263
2016-03-09,cnnbrk,"Henry Kissinger, George Shultz say they will not back either major party candidate in the 2016 race. https://t.co/A0bjkiFyk1",608,296,0.4019,0.4019
2016-03-09,cnnbrk,"Police officer and suspect were shot and killed during foot chase in  NM, officials say. https://t.co/JywHjPNRtz https://t.co/gvQTYwY9wh",338,289,-0.7717,-0.7717
2016-03-09,cnnbrk,"Scientists discover large doughnut-shaped coral reef in Australia, behind Great Barrier Reef https://t.co/ukI3NpXZrG https://t.co/udBp01jYbd",577,336,0.5574,0.5574
2016-03-09,cnnbrk,"Thailand's King Bhumibol, world’s longest serving monarch, being treated for ""severe infection,” officials say. https://t.co/u97FwRUvkd",299,398,-0.3818,-0.3818
2016-03-09,cnnbrk,Top Trump surrogate admits to falsifying some of his professional accomplishments. https://t.co/1fCvDfskia https://t.co/pnxKcVKpeW,683,602,0.4588,0.4588
2016-03-09,cnnbrk,"Preliminary 5.6 magnitude earthquake hits near Pawnee, Oklahoma, USGS says. https://t.co/mugsrTZyi8",1599,2036,0.0,0.0
2016-03-09,cnnbrk,"Truck driver dies when Hermine's high winds overturn tractor-trailer on bridge in NC, state says. https://t.co/5yh2IKZNm7",319,219,0.0,0.0
2016-03-09,cnnbrk,Oklahoma shuts down 35 disposal wells used by frackers following 5.6-magnitude quake. https://t.co/c5oIzxNq9a,1208,1205,0.25,0.25
2016-03-09,cnnbrk,GOP VP candidate Mike Pence says he will release his tax returns next week. https://t.co/qiMR8c28oW,406,165,0.0,0.0
2016-03-09,cnnbrk,"The remains of Jacob Wetterling, a Minnesota boy abducted 27 years ago, have been found, sheriff's office says. https://t.co/pHfDZhXyZN",1282,807,-0.5106,-0.5106
2016-03-10,cnnbrk,Colombians narrowly reject peace deal that would have ended 52-year war with FARC rebels https://t.co/myAVXuWbTu https://t.co/KfBktdpFss,473,470,-0.5994,-0.5994
2016-03-10,cnnbrk,"Rapper Kanye West abruptly left his set early at Meadows Festival in NY after declaring ""family emergency."" https://t.co/NQS6KHoqFQ",1245,1201,0.4939,0.4939
2016-03-10,cnnbrk,"Kim Kardashian West was held at gunpoint in her Paris hotel room Sunday night, according to her spokesperson. https://t.co/NQS6KHoqFQ",1349,1277,0.0,0.0
2016-03-10,cnnbrk,"Taliban launches major assault on Afghan city of Kunduz, officials say. https://t.co/Y3xAXNvjvw",151,121,-0.5859,-0.5859
2016-03-10,cnnbrk,"6 people shot early Monday in two separate shootings in Minneapolis, Minnesota, police say. https://t.co/Hmt8Z3ybgz",309,342,0.0,0.0
