Date,author,content,number_of_likes,number_of_shares
2016-01-21 03:44:00,britneyspears,Just put your lips together and blow... #PieceOfMe 👯 https://t.co/CALXsXGqfL,9225,4165
2016-01-21 20:33:00,britneyspears,Rehearsals and tiaras 👑 https://t.co/B8xsfb7DWG,5736,1935
2016-01-22 04:11:00,britneyspears,"@HAIMtheband @Beats1 Thank you for spinning my songs tonight, ladies! #HAIMTIME is 🔥",2436,807
2016-01-22 05:07:00,britneyspears,@KellyOsbourne Lucky girl!! 🎰 Who said the house always wins?? Hope you’re having fun!,1681,616
2016-01-22 17:45:00,britneyspears,Thx @glaad for shedding light on the issues #LGBT face. We still have A LOT of work to do to achieve social change 🌈 https://t.co/X9IgHW4jTg,6278,3041
2016-02-01 00:41:00,britneyspears,Fun in Vegas! https://t.co/sqPhnUB5qq,7346,2026
2016-02-01 03:12:00,britneyspears,Dinner at @MrChow in @CaesarsPalace tonight then to a show! Perfect New Year's Day... I love 2016 already 😊 https://t.co/dBSPLIrrZ0,6419,1770
2016-02-01 18:56:00,britneyspears,Thank you @Cirque for keeping my family and I entertained over the holidays! The Michael Jackson ONE and O shows get 2 👍👍 from us 👏,4489,1432
2016-02-05 16:01:00,britneyspears,Serving up the best for the @bbmas... Performing some of your favorite songs on May 22nd on ABC! #BBMAs https://t.co/6krai4tHGI,17248,7272
2016-02-06 20:41:00,britneyspears,Ooh look who I found... @G_Eazy https://t.co/4Xuk7x35wY,24298,7442
2016-02-09 00:08:00,britneyspears,Me and my BOYS last night #PieceOfMe https://t.co/9a3LNW6fLH,5753,1911
2016-02-09 01:58:00,britneyspears,Miley Cyrus in the making 😜 https://t.co/LSp4cMG1xd,15669,5253
2016-02-09 17:18:00,britneyspears,This was THE BEST news to wake up to this morning!! Thank you to my fans in the UK... I love you all so much!! ❤️🇬🇧💙 https://t.co/LvPvHXZnGZ,10995,3391
2016-02-10 17:51:00,britneyspears,Church with the family! https://t.co/FZCSZpndxP,9387,1870
2016-02-10 22:09:00,britneyspears,Prize levels have been updated for my Charity Ride fundraiser! LOVE this t-shirt 😍 Donate to @NVCCF &amp; get yours!… https://t.co/y7LnXQllyx,3679,904
2016-02-11 19:12:00,britneyspears,Congrats on your BMI Award @JamieLynnSpears - you always make me such a proud big sister 💝 https://t.co/3pwIrbzEC6,3965,973
2016-02-12 18:26:00,britneyspears,So much to celebrate tonight! Can’t wait to see everyone at #KIISJingleBall ❄ 🎁 https://t.co/v6mntMPpUv,8852,2532
2016-02-12 22:56:00,britneyspears,".@MarioLopezExtra Awww thank you, Mario!!",2327,571
2016-02-12 23:03:00,britneyspears,".@TheEllenShow And I love you like a talented, Medal of Freedom recipient 🌟 Thanks Ellen!",4457,1089
2016-02-12 23:04:00,britneyspears,@Nancy8Gamez This is so cool! Thank you so much!!,627,167
2016-02-12 23:07:00,britneyspears,@fab2709 Aww this is soooo sweet thank you! ❤ ❤ ❤,634,166
2016-02-12 23:11:00,britneyspears,@jorgediego9 Your pic is adorable 😊 Thanks Jorge!,754,189
2016-02-12 23:15:00,britneyspears,".@Tinashe thank you 💖 Hope to see you again soon, girl!!!",4272,1295
2016-02-14 01:04:00,britneyspears,It’s finally show day!! Rehearsing like CRAZY but need a quick breather… Talk to me! :) Any questions about the show? #PieceOfMeIsBack,4053,1513
2016-02-14 01:12:00,britneyspears,Breathe on Me and Touch of My Hand. #PieceOfMeIsBack  https://t.co/EwYjuCPixb,2858,1107
2016-02-14 01:16:00,britneyspears,@CupcakKeLover Awwww you are too sweet! Thx so much. See u later ❤️,807,309
2016-02-14 01:18:00,britneyspears,Love me some @MissyElliott... #PieceOfMeIsBack  https://t.co/r1DPyLUg2P,2869,1033
2016-02-14 01:20:00,britneyspears,iPod Speakers! #PieceOfMeIsBack  https://t.co/VaxLj0z6Kj,1766,555
2016-02-14 01:22:00,britneyspears,Movie time with my boys 😊 #PieceOfMeIsBack  https://t.co/zfZ3lK5l5z,2126,652
2016-02-14 01:24:00,britneyspears,Chocolate....and #PieceOfMe in Vegas! See you tomorrow night? ❤️ #PieceOfMeIsBack  https://t.co/nKKVvhfUgH,2124,681
2016-02-14 01:29:00,britneyspears,Getting to dance to new choreography! #PieceOfMeIsBack  https://t.co/A3qekdyZvf,2053,720
2016-02-14 01:34:00,britneyspears,Depends! Love Ex's &amp; Oh's @ElleKingMusic... Butterfly @MariahCarey... We Can't Stop @MileyCyrus #PieceOfMeIsBack  https://t.co/jpDpmzKHUx,3415,1844
2016-02-14 01:38:00,britneyspears,I'm always creatively working on music 😉 #PieceOfMeIsBack https://t.co/zhd5xEmh6y,2476,977
2016-02-14 01:41:00,britneyspears,ALL 3 of my dogs 😉... they're my babies❤️❤️❤️ #PieceOfMeIsBack  https://t.co/o5BsEOlrvf,2106,674
2016-02-14 01:42:00,britneyspears,Anything by Jackie Collins!! #PieceOfMeIsBack  https://t.co/SFYDqqeTYt,1972,624
2016-02-14 01:45:00,britneyspears,Thank you all for the questions... back to work now! See you tonight Vegas ❤️ #PieceOfMeIsBack,3668,1197
